1 252
2 277
3 315
4 366
5 496
6 703
7 803
8 912
9 1151
10 1276
11 1566
12 1835
13 1943
14 2116
15 2356
16 2767
17 3138
18 3339
19 3475
20 3760
21 4013
22 4307
23 4468
24 4941
25 5132
26 5388
27 5477
28 5627
29 5958
30 6148
31 6267
32 6403
33 6441
